,"[0,2]","[2,4]","[4,6]","[0,8]","[8,10]","[10,12]","[0,14]","[14,16]","[16,18]","[0,20]","[20,22]","[22,24]",AC
0,1000,268,270,1000,1000,1000,239,186,176,239,186,176,"[0,0,0,0,0,1]"
1,1000,269,268,1000,1000,1000,242,185,176,242,185,176,"[0,0,0,0,0,1]"
2,1000,268,269,1000,1000,1000,242,185,176,242,185,176,"[0,0,0,0,0,1]"
3,1000,267,270,1000,1000,1000,238,186,176,238,186,176,"[0,0,0,0,0,1]"
4,1000,271,270,1000,1000,1000,237,188,177,237,188,177,"[0,0,0,0,0,1]"
5,1000,278,275,1000,1000,1000,233,186,177,233,186,177,"[0,0,0,0,0,1]"
6,1000,276,275,1000,1000,1000,234,186,176,234,186,176,"[0,0,0,0,0,1]"
7,1000,273,274,1000,1000,1000,234,185,176,234,185,176,"[0,0,0,0,0,1]"
8,1000,273,275,1000,1000,1000,235,184,176,235,184,176,"[0,0,0,0,0,1]"
9,1000,273,276,1000,1000,1000,235,184,176,235,184,176,"[0,0,0,0,0,1]"
10,1000,285,276,1000,1000,1000,227,190,177,227,190,177,"[0,0,0,0,0,1]"
11,1000,287,275,1000,1000,1000,227,190,178,227,190,178,"[0,0,0,0,0,1]"
12,1000,284,276,1000,1000,1000,227,191,178,227,191,178,"[0,0,0,0,0,1]"
13,1000,284,275,1000,1000,1000,226,192,177,226,192,177,"[0,0,0,0,0,1]"
14,1000,283,273,1000,1000,1000,227,191,178,227,191,178,"[0,0,0,0,0,1]"
15,1000,274,275,1000,1000,1000,227,188,178,227,188,178,"[0,0,0,0,0,1]"
16,1000,274,277,1000,1000,1000,231,189,173,231,189,173,"[0,0,0,0,0,1]"
17,1000,270,275,1000,1000,1000,234,188,172,234,188,172,"[0,0,0,0,0,1]"
18,1000,270,277,1000,1000,1000,236,188,173,236,188,173,"[0,0,0,0,0,1]"
19,1000,272,279,1000,1000,1000,228,191,174,228,191,174,"[0,0,0,0,0,1]"
20,1000,272,280,1000,1000,1000,238,187,170,238,187,170,"[0,0,0,0,0,1]"
21,1000,270,279,1000,1000,1000,241,186,171,241,186,171,"[0,0,0,0,0,1]"
22,1000,270,280,1000,1000,1000,236,188,171,236,188,171,"[0,0,0,0,0,1]"
23,1000,271,280,1000,1000,1000,236,189,170,236,189,170,"[0,0,0,0,0,1]"
24,1000,265,281,1000,1000,1000,237,190,170,237,190,170,"[0,0,0,0,0,1]"
25,1000,270,267,1000,1000,1000,223,200,165,223,200,165,"[0,0,0,0,0,1]"
26,1000,270,267,1000,1000,1000,225,200,164,225,200,164,"[0,0,0,0,0,1]"
27,1000,270,267,1000,1000,1000,225,198,165,225,198,165,"[0,0,0,0,0,1]"
28,1000,270,267,1000,1000,1000,225,199,164,225,199,164,"[0,0,0,0,0,1]"
29,1000,270,267,1000,1000,1000,224,200,165,224,200,165,"[0,0,0,0,0,1]"
30,1000,266,270,1000,1000,1000,219,192,174,219,192,174,"[0,0,0,0,0,1]"
31,1000,270,271,1000,1000,1000,226,189,174,226,189,174,"[0,0,0,0,0,1]"
32,1000,260,264,1000,1000,1000,233,185,173,233,185,173,"[0,0,0,0,0,1]"
33,1000,273,278,1000,1000,1000,216,194,173,216,194,173,"[0,0,0,0,0,1]"
34,1000,264,269,1000,1000,1000,222,190,173,222,190,173,"[0,0,0,0,0,1]"
35,1000,264,296,1000,1000,1000,233,189,177,233,189,177,"[0,0,0,0,0,1]"
36,1000,264,297,1000,1000,1000,232,188,177,232,188,177,"[0,0,0,0,0,1]"
37,1000,264,298,1000,1000,1000,236,188,177,236,188,177,"[0,0,0,0,0,1]"
38,1000,261,297,1000,1000,1000,235,189,177,235,189,177,"[0,0,0,0,0,1]"
39,1000,260,297,1000,1000,1000,235,188,177,235,188,177,"[0,0,0,0,0,1]"
40,1000,272,278,1000,1000,1000,237,188,177,237,188,177,"[0,0,0,0,0,1]"
41,1000,271,278,1000,1000,1000,236,189,177,236,189,177,"[0,0,0,0,0,1]"
42,1000,270,278,1000,1000,1000,236,190,177,236,190,177,"[0,0,0,0,0,1]"
43,1000,269,278,1000,1000,1000,236,191,176,236,191,176,"[0,0,0,0,0,1]"
44,1000,270,277,1000,1000,1000,236,190,177,236,190,177,"[0,0,0,0,0,1]"
45,1000,261,283,1000,1000,1000,240,190,178,240,190,178,"[0,0,0,0,0,1]"
46,1000,260,283,1000,1000,1000,240,191,177,240,191,177,"[0,0,0,0,0,1]"
47,1000,260,282,1000,1000,1000,241,190,177,241,190,177,"[0,0,0,0,0,1]"
48,1000,260,283,1000,1000,1000,240,190,178,240,190,178,"[0,0,0,0,0,1]"
49,1000,261,283,1000,1000,1000,242,189,178,242,189,178,"[0,0,0,0,0,1]"
50,1000,272,287,1000,1000,1000,231,187,173,231,187,173,"[0,0,0,0,0,1]"
51,1000,273,287,1000,1000,1000,230,188,173,230,188,173,"[0,0,0,0,0,1]"
52,1000,272,287,1000,1000,1000,229,188,173,229,188,173,"[0,0,0,0,0,1]"
53,1000,273,286,1000,1000,1000,229,188,173,229,188,173,"[0,0,0,0,0,1]"
54,1000,273,287,1000,1000,1000,230,188,174,230,188,174,"[0,0,0,0,0,1]"
55,1000,268,270,1000,1000,1000,244,177,188,244,177,188,"[0,0,0,0,0,1]"
56,1000,271,272,1000,1000,1000,244,177,190,244,177,190,"[0,0,0,0,0,1]"
57,1000,270,272,1000,1000,1000,244,177,188,244,177,188,"[0,0,0,0,0,1]"
58,1000,271,273,1000,1000,1000,245,185,181,245,185,181,"[0,0,0,0,0,1]"
59,1000,267,272,1000,1000,1000,242,177,189,242,177,189,"[0,0,0,0,0,1]"
60,1000,265,259,1000,1000,1000,235,177,181,235,177,181,"[0,0,0,0,0,1]"
61,1000,265,260,1000,1000,1000,234,177,181,234,177,181,"[0,0,0,0,0,1]"
62,1000,268,261,1000,1000,1000,224,186,179,224,186,179,"[0,0,0,0,0,1]"
63,1000,268,260,1000,1000,1000,224,186,178,224,186,178,"[0,0,0,0,0,1]"
64,1000,267,260,1000,1000,1000,226,184,179,226,184,179,"[0,0,0,0,0,1]"
